Brand,Product Name,Price,Stars,Reviews,Category,Weighted_Rating
Laura Mercier,Secret Brightening Powder for Under Eyes,35.0,4.5,808,Setting Spray and Powder,4.488268228605883
Urban Decay Cosmetics,De-Slick Oil Control Setting Spray,36.0,4.3,1266,Setting Spray and Powder,4.299663320918292
Urban Decay Cosmetics,All Nighter Hyaluronic Acid Dewy Setting Spray,36.0,4.6,475,Setting Spray and Powder,4.57162065714462
bareMinerals,ORIGINAL Mineral Veil Talc-Free Loose Setting Powder,35.0,4.5,5522,Setting Spray and Powder,4.49819705631717
MAC,Fix+ Magic Radiance All Day Hydrating Setting Spray with Vitamin C,38.0,4.5,277,Setting Spray and Powder,4.469100319035803
bareMinerals,ORIGINAL Mineral Veil Talc-Free Pressed Setting Powder,35.0,4.5,824,Setting Spray and Powder,4.488483490466326
Morphe,Jumbo Bake & Set Setting Powder,21.0,4.6,1553,Setting Spray and Powder,4.590729296493838
e.l.f. Cosmetics,Halo Glow Setting Powder,8.0,4.6,1762,Setting Spray and Powder,4.59179978104234
MAC,Fix+ Stay Over Alcohol-Free 24HR Setting Spray,38.0,4.6,630,Setting Spray and Powder,4.578108560009787
PÜR,4-in-1 Loose Blurring Setting Powder,28.0,3.7,131,Setting Spray and Powder,3.858422366964447
HOURGLASS,Travel Size Veil Translucent Setting Powder,26.0,4.5,37,Setting Spray and Powder,4.3818541610192465
NYX Professional Makeup,Marsh Mellow Matte Setting Spray,10.0,4.5,595,Setting Spray and Powder,4.484381965298034
e.l.f. Cosmetics,Stay All Day Blue Light Micro-Setting Mist,10.0,4.6,15704,Setting Spray and Powder,4.599057745282289
Morphe,Mini Continuous Prep & Set Setting Mist+,14.0,4.2,27,Setting Spray and Powder,4.258101382488479
IT Cosmetics,Bye Bye Pores Translucent Loose Setting Powder,32.0,4.2,3403,Setting Spray and Powder,4.201262707530176
Anastasia Beverly Hills,Translucent Loose Setting Powder,38.0,4.6,1790,Setting Spray and Powder,4.591924702767485
e.l.f. Cosmetics,High Definition Powder,6.0,4.2,2291,Setting Spray and Powder,4.201863019960085
Benefit Cosmetics,The POREfessional: Super Setter Long-Lasting Makeup Setting Spray,35.0,4.5,3234,Setting Spray and Powder,4.496940159563265
Tarte,Life Lock Hydrating Setting Spray,32.0,3.8,6,Setting Spray and Powder,4.236251920122888
Laura Mercier,Translucent Pressed Setting Powder Ultra-Blur,52.0,4.7,11270,Setting Spray and Powder,4.6982644993538285
L'Oréal,Infallible 3-Second Setting Mist Spray,13.99,4.1,202,Setting Spray and Powder,4.136630414746543
MILK MAKEUP,Pore Eclipse Matte Translucent Talc-Free Setting Powder,32.0,4.8,285,Setting Spray and Powder,4.726599410470379
e.l.f. Cosmetics,Makeup Mist & Set,6.0,4.0,1814,Setting Spray and Powder,4.007496027758665
Too Faced,Hangover 3-In-1 Replenishing Primer & Setting Spray,38.0,4.4,1140,Setting Spray and Powder,4.395587208490434
